	NAME	N1	N2	DIST	N	RMSD	GDT-TS-score	LGA_S3	LGA_Q
63	T0644TS085_4-D1.lga:SUMMARY(GDT)	141	141	4.0	131	1.54	78.723	85.25299999999999	7.968
64	T0644TS085_5-D1.lga:SUMMARY(GDT)	141	141	4.0	133	1.73	77.305	85.708	7.275
65	T0644TS087_1-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.7	76.064	80.63	6.829
66	T0644TS087_2-D1.lga:SUMMARY(GDT)	141	141	4.0	126	1.83	75.532	80.351	6.519
67	T0644TS087_3-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.72	74.645	79.55	6.755
68	T0644TS087_4-D1.lga:SUMMARY(GDT)	141	141	4.0	122	1.72	73.759	78.737	6.718999999999999
69	T0644TS087_5-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.76	74.468	79.593	6.657
70	T0644TS088_1-D1.lga:SUMMARY(GDT)	141	141	4.0	49	2.1	31.028000000000002	26.323	2.2230000000000003
71	T0644TS088_2-D1.lga:SUMMARY(GDT)	141	141	4.0	43	2.35	27.482	23.809	1.758
72	T0644TS088_3-D1.lga:SUMMARY(GDT)	141	141	4.0	48	1.98	32.979	28.646	2.31
73	T0644TS098_1-D1.lga:SUMMARY(GDT)	141	141	4.0	16	2.91	13.120999999999999	10.704	0.532
74	T0644TS101_1-D1.lga:SUMMARY(GDT)	141	141	4.0	130	1.41	82.09200000000001	88.178	8.609
75	T0644TS101_2-D1.lga:SUMMARY(GDT)	141	141	4.0	130	1.39	83.333	89.06200000000001	8.705
76	T0644TS101_3-D1.lga:SUMMARY(GDT)	141	141	4.0	130	1.38	83.51100000000001	88.773	8.769
77	T0644TS101_4-D1.lga:SUMMARY(GDT)	141	141	4.0	134	1.75	83.333	88.993	7.255
78	T0644TS101_5-D1.lga:SUMMARY(GDT)	141	141	4.0	134	1.54	84.04299999999999	89.641	8.187999999999999
79	T0644TS103_1-D1.lga:SUMMARY(GDT)	141	141	4.0	51	1.95	36.17	31.13	2.483
80	T0644TS103_2-D1.lga:SUMMARY(GDT)	141	141	4.0	50	2.07	33.688	29.209	2.303
81	T0644TS103_3-D1.lga:SUMMARY(GDT)	141	141	4.0	55	2.67	38.475	32.721	1.982
82	T0644TS103_4-D1.lga:SUMMARY(GDT)	141	141	4.0	54	2.03	35.461	31.385	2.541
83	T0644TS103_5-D1.lga:SUMMARY(GDT)	141	141	4.0	49	1.95	33.865	28.56	2.388
84	T0644TS107_1-D1.lga:SUMMARY(GDT)	141	141	4.0	40	2.61	24.645	22.165	1.4780000000000002
85	T0644TS107_2-D1.lga:SUMMARY(GDT)	141	141	4.0	42	2.44	25.709	23.031999999999996	1.652
86	T0644TS107_3-D1.lga:SUMMARY(GDT)	141	141	4.0	42	2.46	25.0	22.906999999999996	1.643
87	T0644TS107_4-D1.lga:SUMMARY(GDT)	141	141	4.0	42	2.45	25.709	22.612	1.649
88	T0644TS107_5-D1.lga:SUMMARY(GDT)	141	141	4.0	39	2.66	23.936	21.498	1.4140000000000001
89	T0644TS108_1-D1.lga:SUMMARY(GDT)	141	141	4.0	122	2.07	71.277	72.797	5.6129999999999995
90	T0644TS111_1-D1.lga:SUMMARY(GDT)	141	141	4.0	29	2.87	20.566999999999997	18.233	0.978
91	T0644TS111_2-D1.lga:SUMMARY(GDT)	141	141	4.0	33	2.74	23.936	20.116	1.1640000000000001
92	T0644TS111_3-D1.lga:SUMMARY(GDT)	141	141	4.0	42	2.58	30.496	25.178	1.5659999999999998
93	T0644TS111_4-D1.lga:SUMMARY(GDT)	141	141	4.0	57	2.23	31.383000000000003	29.320999999999998	2.443
94	T0644TS111_5-D1.lga:SUMMARY(GDT)	141	141	4.0	16	2.7	11.702	9.951	0.5720000000000001
95	T0644TS113_1-D1.lga:SUMMARY(GDT)	141	141	4.0	126	1.38	84.75200000000001	87.76100000000001	8.5
96	T0644TS113_2-D1.lga:SUMMARY(GDT)	140	141	4.0	122	1.37	77.837	82.37700000000001	8.276
97	T0644TS113_3-D1.lga:SUMMARY(GDT)	132	141	4.0	122	1.36	77.482	83.027	8.366
98	T0644TS113_4-D1.lga:SUMMARY(GDT)	113	141	4.0	50	2.4	31.383000000000003	27.43	1.9980000000000002
99	T0644TS113_5-D1.lga:SUMMARY(GDT)	116	141	4.0	55	2.09	35.461	31.105999999999998	2.513
100	T0644TS114_1-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.42	83.156	88.057	8.337
101	T0644TS114_2-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.39	85.28399999999999	89.402	8.681000000000001
102	T0644TS114_3-D1.lga:SUMMARY(GDT)	141	141	4.0	128	1.43	83.156	89.14200000000001	8.372
103	T0644TS114_4-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.25	83.865	86.51700000000001	9.154
104	T0644TS114_5-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.45	81.738	87.339	8.219
105	T0644TS115_1-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.26	79.255	83.366	9.105
106	T0644TS115_2-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.51	76.241	81.093	7.712000000000001
107	T0644TS115_3-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.37	76.773	82.178	8.421
108	T0644TS115_4-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.61	74.113	79.567	7.271
109	T0644TS115_5-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.28	80.319	84.45700000000001	9.086
110	T0644TS117_1-D1.lga:SUMMARY(GDT)	141	141	4.0	56	2.14	31.383000000000003	28.279	2.499
111	T0644TS117_2-D1.lga:SUMMARY(GDT)	141	141	4.0	18	2.53	12.765999999999998	10.798	0.6859999999999999
112	T0644TS121_1-D1.lga:SUMMARY(GDT)	141	141	4.0	121	1.47	79.433	82.83200000000001	7.7139999999999995
113	T0644TS121_2-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.52	80.851	83.67200000000001	7.657
114	T0644TS121_3-D1.lga:SUMMARY(GDT)	141	141	4.0	120	1.58	75.0	80.067	7.143
115	T0644TS121_4-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.68	75.0	81.066	6.974
116	T0644TS121_5-D1.lga:SUMMARY(GDT)	141	141	4.0	121	1.44	80.142	83.02600000000001	7.848
117	T0644TS122_1-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.78	74.82300000000001	79.70100000000001	6.65
118	T0644TS124_1-D1.lga:SUMMARY(GDT)	141	141	4.0	51	2.36	33.688	28.886	2.069
119	T0644TS124_2-D1.lga:SUMMARY(GDT)	141	141	4.0	52	2.4	34.043	29.261	2.082
120	T0644TS124_3-D1.lga:SUMMARY(GDT)	141	141	4.0	52	2.28	34.22	29.416999999999998	2.181
121	T0644TS124_4-D1.lga:SUMMARY(GDT)	141	141	4.0	51	2.27	32.979	28.526	2.149
122	T0644TS124_5-D1.lga:SUMMARY(GDT)	141	141	4.0	53	2.18	35.816	30.879	2.326
123	T0644TS125_1-D1.lga:SUMMARY(GDT)	141	141	4.0	63	2.23	40.071	37.038000000000004	2.705
124	T0644TS125_2-D1.lga:SUMMARY(GDT)	141	141	4.0	61	2.11	37.943000000000005	34.313	2.765
125	T0644TS125_3-D1.lga:SUMMARY(GDT)	141	141	4.0	63	2.15	40.071	37.378	2.7969999999999997
126	T0644TS125_4-D1.lga:SUMMARY(GDT)	141	141	4.0	51	1.94	35.638000000000005	30.075	2.499
127	T0644TS125_5-D1.lga:SUMMARY(GDT)	141	141	4.0	51	1.98	36.348	30.928	2.457
128	T0644TS130_1-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.32	82.801	88.618	9.081
129	T0644TS130_2-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.3	82.979	88.946	9.19
130	T0644TS130_3-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.3	82.979	88.86200000000001	9.187999999999999
131	T0644TS130_4-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.39	81.028	87.87	8.655
132	T0644TS130_5-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.39	85.28399999999999	89.402	8.681000000000001
133	T0644TS141_1-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.16	82.27	85.682	9.853
134	T0644TS141_2-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.22	82.09200000000001	86.29899999999999	9.401
135	T0644TS141_3-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.27	83.51100000000001	87.735	9.282
136	T0644TS141_4-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.2	83.51100000000001	87.56299999999999	9.648
137	T0644TS141_5-D1.lga:SUMMARY(GDT)	141	141	4.0	126	1.24	83.68799999999999	87.595	9.399
138	T0644TS148_1-D1.lga:SUMMARY(GDT)	141	141	4.0	126	2.12	72.34	74.846	5.681
139	T0644TS148_2-D1.lga:SUMMARY(GDT)	129	141	4.0	50	2.44	32.446999999999996	28.109	1.9680000000000002
140	T0644TS148_3-D1.lga:SUMMARY(GDT)	129	141	4.0	55	2.56	33.510999999999996	29.699	2.068
141	T0644TS148_4-D1.lga:SUMMARY(GDT)	125	141	4.0	111	1.97	64.007	62.49100000000001	5.372000000000001
142	T0644TS148_5-D1.lga:SUMMARY(GDT)	62	141	4.0	48	1.92	29.255	27.248	2.377
143	T0644TS149_1-D1.lga:SUMMARY(GDT)	141	141	4.0	93	2.45	56.56	53.802	3.6510000000000002
144	T0644TS149_2-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.69	75.887	82.396	6.9079999999999995
145	T0644TS149_3-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.85	74.645	80.563	6.422999999999999
146	T0644TS149_4-D1.lga:SUMMARY(GDT)	141	141	4.0	104	2.04	63.652	57.135	4.856
147	T0644TS149_5-D1.lga:SUMMARY(GDT)	141	141	4.0	118	2.72	64.71600000000001	63.903999999999996	4.191
148	T0644TS152_1-D1.lga:SUMMARY(GDT)	141	141	4.0	17	2.44	12.943	11.215	0.67
149	T0644TS152_2-D1.lga:SUMMARY(GDT)	141	141	4.0	22	3.05	15.071	13.084000000000001	0.698
150	T0644TS152_3-D1.lga:SUMMARY(GDT)	141	141	4.0	24	2.94	17.375999999999998	15.087	0.79
151	T0644TS152_4-D1.lga:SUMMARY(GDT)	141	141	4.0	22	2.27	16.135	13.975	0.929
152	T0644TS152_5-D1.lga:SUMMARY(GDT)	141	141	4.0	19	2.37	14.007	12.645999999999999	0.7709999999999999
153	T0644TS163_1-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.46	80.851	87.147	8.257
154	T0644TS164_1-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.45	81.738	87.339	8.219
155	T0644TS164_2-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.9	72.163	78.02199999999999	6.16
156	T0644TS164_3-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.87	72.518	78.382	6.2410000000000005
157	T0644TS164_4-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.42	82.624	89.042	8.349
158	T0644TS164_5-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.42	83.156	88.057	8.337
159	T0644TS165_1-D1.lga:SUMMARY(GDT)	141	141	4.0	121	2.13	67.376	69.32600000000001	5.438
160	T0644TS165_2-D1.lga:SUMMARY(GDT)	141	141	4.0	134	1.89	76.418	84.49700000000001	6.75
161	T0644TS165_3-D1.lga:SUMMARY(GDT)	141	141	4.0	121	1.63	74.468	79.54	6.989
162	T0644TS165_4-D1.lga:SUMMARY(GDT)	141	141	4.0	119	1.73	71.631	71.40100000000001	6.515
163	T0644TS165_5-D1.lga:SUMMARY(GDT)	141	141	4.0	130	1.89	74.113	81.97	6.545
164	T0644TS172_1-D1.lga:SUMMARY(GDT)	141	141	4.0	117	2.15	64.89399999999999	64.22399999999999	5.211
165	T0644TS172_2-D1.lga:SUMMARY(GDT)	141	141	4.0	120	2.22	70.39	69.81	5.18
166	T0644TS172_3-D1.lga:SUMMARY(GDT)	141	141	4.0	124	2.24	71.809	70.955	5.289
167	T0644TS172_4-D1.lga:SUMMARY(GDT)	141	141	4.0	99	2.56	54.61	50.286	3.719
168	T0644TS172_5-D1.lga:SUMMARY(GDT)	141	141	4.0	119	2.41	66.48899999999999	62.363	4.736000000000001
169	T0644TS175_1-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.72	75.532	79.513	6.777
170	T0644TS175_2-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.68	74.291	79.321	6.9110000000000005
171	T0644TS175_3-D1.lga:SUMMARY(GDT)	141	141	4.0	122	1.5	77.305	81.58	7.638
172	T0644TS175_4-D1.lga:SUMMARY(GDT)	141	141	4.0	123	2.02	71.09899999999999	76.12899999999999	5.815
173	T0644TS175_5-D1.lga:SUMMARY(GDT)	141	141	4.0	121	1.81	70.567	76.777	6.332999999999999
174	T0644TS178_1-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.54	78.90100000000001	83.65899999999999	7.865
175	T0644TS179_1-D1.lga:SUMMARY(GDT)	141	141	4.0	30	2.46	18.262	16.229	1.1740000000000002
176	T0644TS179_2-D1.lga:SUMMARY(GDT)	141	141	4.0	30	2.46	18.262	16.229	1.1740000000000002
177	T0644TS179_3-D1.lga:SUMMARY(GDT)	141	141	4.0	38	2.43	25.886999999999997	23.055999999999997	1.504
178	T0644TS179_4-D1.lga:SUMMARY(GDT)	141	141	4.0	38	2.43	25.886999999999997	23.055999999999997	1.504
179	T0644TS179_5-D1.lga:SUMMARY(GDT)	141	141	4.0	43	2.33	25.177	23.061	1.768
180	T0644TS190_1-D1.lga:SUMMARY(GDT)	141	141	4.0	40	2.61	24.645	22.165	1.4780000000000002
181	T0644TS190_2-D1.lga:SUMMARY(GDT)	141	141	4.0	42	2.44	25.709	23.031999999999996	1.652
182	T0644TS190_3-D1.lga:SUMMARY(GDT)	141	141	4.0	42	2.46	25.0	22.906999999999996	1.643
183	T0644TS190_4-D1.lga:SUMMARY(GDT)	141	141	4.0	42	2.45	25.709	22.612	1.649
184	T0644TS190_5-D1.lga:SUMMARY(GDT)	141	141	4.0	39	2.66	23.936	21.498	1.4140000000000001
185	T0644TS195_1-D1.lga:SUMMARY(GDT)	141	141	4.0	40	1.84	29.078000000000003	25.255	2.0669999999999997
186	T0644TS195_2-D1.lga:SUMMARY(GDT)	141	141	4.0	87	2.72	49.291000000000004	43.115	3.0869999999999997
187	T0644TS195_3-D1.lga:SUMMARY(GDT)	141	141	4.0	92	2.6	50.177	43.981	3.408
188	T0644TS195_4-D1.lga:SUMMARY(GDT)	141	141	4.0	85	2.78	48.93600000000001	42.888999999999996	2.9539999999999997
189	T0644TS195_5-D1.lga:SUMMARY(GDT)	141	141	4.0	87	2.79	50.355	45.301	3.015
190	T0644TS197_1-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.44	82.27	87.805	8.272
191	T0644TS197_2-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.43	82.09200000000001	87.958	8.287
192	T0644TS197_3-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.44	81.56	87.84700000000001	8.269
193	T0644TS197_4-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.39	82.27	88.166	8.64
194	T0644TS197_5-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.47	82.27	87.83	8.113
195	T0644TS198_1-D1.lga:SUMMARY(GDT)	141	141	4.0	122	1.69	74.82300000000001	79.615	6.812
196	T0644TS198_2-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.49	77.482	82.57700000000001	7.754
197	T0644TS198_3-D1.lga:SUMMARY(GDT)	141	141	4.0	121	1.47	76.95	81.788	7.707999999999999
198	T0644TS198_4-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.67	75.0	80.437	7.015
199	T0644TS198_5-D1.lga:SUMMARY(GDT)	141	141	4.0	121	1.46	76.773	81.50399999999999	7.749
200	T0644TS201_1-D1.lga:SUMMARY(GDT)	141	141	4.0	97	2.7	60.284	57.25899999999999	3.463
201	T0644TS201_2-D1.lga:SUMMARY(GDT)	141	141	4.0	95	2.63	59.22	57.31	3.483
202	T0644TS201_3-D1.lga:SUMMARY(GDT)	141	141	4.0	95	2.68	60.284	57.218	3.4130000000000003
203	T0644TS201_4-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.25	81.383	85.06	9.19
204	T0644TS201_5-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.22	81.206	85.402	9.408999999999999
205	T0644TS204_1-D1.lga:SUMMARY(GDT)	129	141	4.0	50	2.43	33.510999999999996	27.596	1.9780000000000002
206	T0644TS221_1-D1.lga:SUMMARY(GDT)	138	141	4.0	129	1.65	77.305	82.98200000000001	7.374
207	T0644TS221_2-D1.lga:SUMMARY(GDT)	139	141	4.0	129	1.6	77.66	83.296	7.607
208	T0644TS221_3-D1.lga:SUMMARY(GDT)	138	141	4.0	129	1.6	78.723	84.046	7.605
209	T0644TS221_4-D1.lga:SUMMARY(GDT)	139	141	4.0	129	1.54	80.142	84.366	7.86
210	T0644TS221_5-D1.lga:SUMMARY(GDT)	139	141	4.0	129	1.66	77.482	82.64299999999999	7.319
211	T0644TS222_1-D1.lga:SUMMARY(GDT)	141	141	4.0	25	2.81	16.667	14.706	0.8590000000000001
212	T0644TS222_2-D1.lga:SUMMARY(GDT)	141	141	4.0	25	2.56	16.489	14.035	0.941
213	T0644TS222_3-D1.lga:SUMMARY(GDT)	141	141	4.0	49	3.01	28.546	24.925	1.5759999999999998
214	T0644TS222_4-D1.lga:SUMMARY(GDT)	141	141	4.0	51	2.29	32.979	27.633000000000003	2.13
215	T0644TS222_5-D1.lga:SUMMARY(GDT)	141	141	4.0	53	2.34	32.979	28.565	2.168
216	T0644TS223_1-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.49	79.78699999999999	85.385	8.113
217	T0644TS237_1-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.49	83.333	88.618	8.103
218	T0644TS237_2-D1.lga:SUMMARY(GDT)	141	141	4.0	128	1.41	83.51100000000001	89.264	8.495
219	T0644TS237_3-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.5	81.915	87.691	8.052
220	T0644TS237_4-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.47	82.801	88.374	8.204
221	T0644TS237_5-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.73	73.227	78.915	6.757999999999999
222	T0644TS238_1-D1.lga:SUMMARY(GDT)	141	141	4.0	122	1.69	74.82300000000001	79.615	6.812
223	T0644TS238_2-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.49	77.482	82.57700000000001	7.754
224	T0644TS238_3-D1.lga:SUMMARY(GDT)	141	141	4.0	121	1.47	76.95	81.788	7.707999999999999
225	T0644TS238_4-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.67	75.0	80.437	7.015
226	T0644TS238_5-D1.lga:SUMMARY(GDT)	141	141	4.0	121	1.46	76.773	81.50399999999999	7.749
227	T0644TS246_1-D1.lga:SUMMARY(GDT)	141	141	4.0	34	3.0	22.872	19.261	1.095
228	T0644TS246_2-D1.lga:SUMMARY(GDT)	141	141	4.0	27	2.66	16.844	14.38	0.977
229	T0644TS246_3-D1.lga:SUMMARY(GDT)	141	141	4.0	24	2.72	17.73	14.767999999999999	0.85
230	T0644TS247_1-D1.lga:SUMMARY(GDT)	141	141	4.0	53	2.31	32.092	28.276	2.2
231	T0644TS247_2-D1.lga:SUMMARY(GDT)	141	141	4.0	17	3.0	13.475	11.613	0.5489999999999999
232	T0644TS247_3-D1.lga:SUMMARY(GDT)	141	141	4.0	48	2.68	32.27	27.675	1.724
233	T0644TS247_4-D1.lga:SUMMARY(GDT)	141	141	4.0	15	2.96	11.347999999999999	9.472999999999999	0.49
234	T0644TS247_5-D1.lga:SUMMARY(GDT)	141	141	4.0	16	2.96	12.765999999999998	10.588	0.523
235	T0644TS251_1-D1.lga:SUMMARY(GDT)	141	141	4.0	133	1.73	81.56	88.116	7.256
236	T0644TS251_2-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.48	79.78699999999999	84.538	7.9239999999999995
237	T0644TS251_3-D1.lga:SUMMARY(GDT)	141	141	4.0	126	1.63	77.305	83.73899999999999	7.2989999999999995
238	T0644TS251_4-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.33	83.68799999999999	89.39	8.991
